Date,TotalUsageTime,User
2019-04-30,72,P3041
2019-05-01,214,P3041
2019-05-02,430,P3041
2019-05-03,240,P3041
2019-05-04,215,P3041
2019-05-05,184,P3041
2019-05-06,112,P3041
2019-04-30,167,P3025
2019-05-01,256,P3025
2019-05-02,222,P3025
2019-05-03,164,P3025
2019-05-04,177,P3025
2019-05-05,272,P3025
2019-05-06,125,P3025
2019-04-30,352,P3029
2019-05-01,381,P3029
2019-05-02,211,P3029
2019-05-03,262,P3029
2019-05-04,365,P3029
2019-05-05,357,P3029
2019-05-06,109,P3029
2019-04-30,195,P3027
2019-05-01,171,P3027
2019-05-02,49,P3027
2019-05-03,39,P3027
2019-05-04,72,P3027
2019-04-30,117,P3030
2019-05-01,213,P3030
2019-05-02,176,P3030
2019-05-03,218,P3030
2019-05-04,306,P3030
2019-05-05,259,P3030
2019-05-06,239,P3030
2019-04-30,162,P3028
2019-05-01,216,P3028
2019-05-02,135,P3028
2019-05-03,245,P3028
2019-05-04,113,P3028
2019-05-05,227,P3028
2019-05-06,94,P3028
2019-04-30,77,P3018
2019-05-01,229,P3018
2019-05-02,91,P3018
2019-05-03,146,P3018
2019-05-04,157,P3018
2019-05-05,103,P3018
2019-05-06,110,P3018
2019-04-30,222,P3016
2019-05-01,102,P3016
2019-05-02,116,P3016
2019-05-03,122,P3016
2019-05-04,541,P3016
2019-05-05,259,P3016
2019-05-06,194,P3016
2019-04-30,187,P3014
2019-05-01,289,P3014
2019-05-02,229,P3014
2019-04-30,65,P3019
2019-05-01,159,P3019
2019-05-02,83,P3019
2019-05-03,202,P3019
2019-05-04,122,P3019
2019-05-05,123,P3019
2019-05-06,75,P3019
2019-04-30,301,P3017
2019-05-01,225,P3017
2019-05-02,585,P3017
2019-05-03,285,P3017
2019-05-04,173,P3017
2019-05-05,264,P3017
2019-05-06,188,P3017
2019-05-03,285,P3017
2019-04-30,614,P3021
2019-05-01,486,P3021
2019-05-02,428,P3021
2019-05-03,512,P3021
2019-05-04,411,P3021
2019-05-05,345,P3021
2019-05-06,119,P3021
2019-04-30,184,P3015
2019-05-01,132,P3015
2019-05-02,92,P3015
2019-05-03,121,P3015
2019-05-04,142,P3015
2019-05-05,329,P3015
2019-05-06,149,P3015
2019-04-30,88,P3024
2019-05-01,25,P3024
2019-05-02,101,P3024
2019-05-03,94,P3024
2019-05-06,119,P3024
2019-05-03,46,P3023
2019-05-04,97,P3023
2019-05-05,162,P3023
2019-05-06,243,P3023
2019-04-30,288,P3001
2019-05-01,287,P3001
2019-05-02,298,P3001
2019-05-03,236,P3001
2019-05-04,401,P3001
2019-05-05,471,P3001
2019-05-06,240,P3001
2019-04-30,82,P3012
2019-05-01,177,P3012
2019-05-02,118,P3012
2019-05-03,150,P3012
2019-05-04,136,P3012
2019-05-05,218,P3012
2019-05-06,158,P3012
2019-04-30,307,P3003
2019-05-01,385,P3003
2019-05-02,286,P3003
2019-05-03,153,P3003
2019-05-04,707,P3003
2019-05-05,660,P3003
2019-05-06,265,P3003
2019-04-30,301,P3002
2019-05-01,265,P3002
2019-05-02,493,P3002
2019-05-03,571,P3002
2019-05-04,229,P3002
2019-05-05,832,P3002
2019-05-06,146,P3002
2019-04-30,526,P3005
2019-05-01,450,P3005
2019-05-02,662,P3005
2019-05-03,616,P3005
2019-05-04,712,P3005
2019-05-05,821,P3005
2019-05-06,259,P3005
2019-04-30,205,P3009
2019-05-01,283,P3009
2019-05-02,251,P3009
2019-05-03,376,P3009
2019-05-04,123,P3009
2019-04-30,239,P3011
2019-05-01,70,P3011
2019-05-02,78,P3011
2019-05-03,103,P3011
2019-05-04,78,P3011
2019-05-05,139,P3011
2019-05-06,102,P3011
2019-04-30,321,P3013
2019-05-01,264,P3013
2019-05-02,313,P3013
2019-05-03,293,P3013
2019-05-04,386,P3013
2019-05-05,347,P3013
2019-05-06,330,P3013
2019-04-30,307,P3010
2019-05-01,226,P3010
2019-04-30,231,P3007
2019-05-01,216,P3007
2019-05-02,167,P3007
2019-05-03,284,P3007
2019-05-04,125,P3007
2019-05-05,163,P3007
2019-05-06,225,P3007
2019-05-08,705,P0728
2019-05-09,627,P0728
2019-05-10,585,P0728
2019-05-11,256,P0728
2019-05-12,326,P0728
2019-05-13,161,P0728
2019-05-14,167,P0728
2019-05-08,83,P0708
2019-05-09,111,P0708
2019-05-10,338,P0708
2019-05-11,174,P0708
2019-05-12,227,P0708
2019-05-13,335,P0708
2019-05-14,115,P0708
2019-05-08,273,P0727
2019-05-09,243,P0727
2019-05-10,257,P0727
2019-05-11,126,P0727
2019-05-12,165,P0727
2019-05-13,355,P0727
2019-05-14,177,P0727
2019-05-08,216,P0711
2019-05-09,175,P0711
2019-05-10,173,P0711
2019-05-11,108,P0711
2019-05-12,162,P0711
2019-05-13,213,P0711
2019-05-14,184,P0711
2019-05-08,163,P0725
2019-05-09,366,P0725
2019-05-10,446,P0725
2019-05-11,374,P0725
2019-05-12,336,P0725
2019-05-13,326,P0725
2019-05-14,170,P0725
2019-05-08,107,P0714
2019-05-09,126,P0714
2019-05-10,90,P0714
2019-05-11,57,P0714
2019-05-12,99,P0714
2019-05-13,153,P0714
2019-05-14,101,P0714
2019-05-08,471,P0722
2019-05-09,669,P0722
2019-05-10,531,P0722
2019-05-11,895,P0722
2019-05-12,831,P0722
2019-05-13,536,P0722
2019-05-14,295,P0722
2019-05-08,413,P0719
2019-05-09,268,P0719
2019-05-10,239,P0719
2019-05-11,495,P0719
2019-05-12,332,P0719
2019-05-13,353,P0719
2019-05-14,208,P0719
2019-05-08,72,P0721
2019-05-09,137,P0721
2019-05-10,144,P0721
2019-05-11,106,P0721
2019-05-12,124,P0721
2019-05-13,97,P0721
2019-05-14,68,P0721
2019-05-08,116,P0718
2019-05-09,129,P0718
2019-05-10,234,P0718
2019-05-11,235,P0718
2019-05-12,158,P0718
2019-05-13,156,P0718
2019-05-14,66,P0718
2019-05-08,313,P0729
2019-05-09,287,P0729
2019-05-10,191,P0729
2019-05-11,252,P0729
2019-05-12,246,P0729
2019-05-13,175,P0729
2019-05-14,177,P0729
2019-05-08,74,P0703
2019-05-09,113,P0703
2019-05-10,80,P0703
2019-05-11,173,P0703
2019-05-12,93,P0703
2019-05-13,206,P0703
2019-05-14,536,P0703
2019-05-08,297,P0723
2019-05-09,459,P0723
2019-05-10,584,P0723
2019-05-11,79,P0723
2019-05-12,610,P0723
2019-05-13,437,P0723
2019-05-14,155,P0723
2019-05-16,242,P1501
2019-05-17,302,P1501
2019-05-18,440,P1501
2019-05-19,220,P1501
2019-05-20,278,P1501
2019-05-21,234,P1501
2019-05-22,307,P1501
2019-05-08,266,P0717
2019-05-09,235,P0717
2019-05-10,193,P0717
2019-05-11,310,P0717
2019-05-12,252,P0717
2019-05-13,238,P0717
2019-05-14,364,P0717
2019-05-08,225,P0704
2019-05-09,194,P0704
2019-05-10,200,P0704
2019-05-11,139,P0704
2019-05-12,138,P0704
2019-05-13,156,P0704
2019-05-14,122,P0704
2019-05-10,5,P0726
2019-05-11,317,P0726
2019-05-12,251,P0726
2019-05-13,290,P0726
2019-05-14,64,P0726
2019-05-16,96,P1503
2019-05-17,257,P1503
2019-05-18,154,P1503
2019-05-19,286,P1503
2019-05-20,249,P1503
2019-05-21,259,P1503
2019-05-22,277,P1503
2019-05-16,260,P1502
2019-05-17,291,P1502
2019-05-18,98,P1502
2019-05-19,186,P1502
2019-05-20,146,P1502
2019-05-21,100,P1502
2019-05-22,158,P1502
2019-05-16,103,P1504
2019-05-17,88,P1504
2019-05-18,39,P1504
2019-05-20,111,P1504
2019-05-21,152,P1504
2019-05-22,76,P1504
2019-05-08,234,P0705
2019-05-09,279,P0705
2019-05-10,173,P0705
2019-05-11,436,P0705
2019-05-12,358,P0705
2019-05-13,69,P0705
2019-05-14,113,P0705
2019-05-08,206,P0706
2019-05-09,139,P0706
2019-05-10,19,P0706
2019-05-13,92,P0706
2019-05-14,137,P0706
2019-05-08,155,P0702
2019-05-09,106,P0702
2019-05-10,125,P0702
2019-05-11,71,P0702
2019-05-12,78,P0702
2019-05-13,46,P0702
2019-05-14,114,P0702
2019-05-16,119,P1508
2019-05-17,113,P1508
2019-05-18,106,P1508
2019-05-19,169,P1508
2019-05-20,118,P1508
2019-05-21,76,P1508
2019-05-22,102,P1508
2019-05-08,38,P0701
2019-05-09,24,P0701
2019-05-10,32,P0701
2019-05-11,38,P0701
2019-05-12,35,P0701
2019-05-13,35,P0701
2019-05-14,29,P0701
2019-05-16,259,P1505
2019-05-17,90,P1505
2019-05-18,115,P1505
2019-05-19,296,P1505
2019-05-20,314,P1505
2019-05-21,319,P1505
2019-05-22,282,P1505
2019-05-16,201,P1506
2019-05-17,427,P1506
2019-05-18,221,P1506
2019-05-19,266,P1506
2019-05-20,171,P1506
2019-05-21,232,P1506
2019-05-22,276,P1506
2019-05-16,243,P1511
2019-05-17,236,P1511
2019-05-18,311,P1511
2019-05-19,189,P1511
2019-05-20,418,P1511
2019-05-21,296,P1511
2019-05-22,344,P1511
2019-05-16,576,P1507
2019-05-17,348,P1507
2019-05-18,554,P1507
2019-05-19,464,P1507
2019-05-20,294,P1507
2019-05-21,644,P1507
2019-05-22,832,P1507
2019-05-16,98,P1510
2019-05-17,166,P1510
2019-05-18,236,P1510
2019-05-19,139,P1510
2019-05-20,218,P1510
2019-05-21,158,P1510
2019-05-22,161,P1510
2019-05-08,523,P0709
2019-05-09,512,P0709
2019-05-10,525,P0709
2019-05-11,308,P0709
2019-05-12,281,P0709
2019-05-13,437,P0709
2019-05-14,283,P0709
2019-05-08,145,P0707
2019-05-09,207,P0707
2019-05-10,269,P0707
2019-05-11,479,P0707
2019-05-12,139,P0707
2019-05-13,86,P0707
2019-05-14,74,P0707
2019-05-16,135,P1525
2019-05-17,78,P1525
2019-05-18,133,P1525
2019-05-19,152,P1525
2019-05-20,170,P1525
2019-05-21,213,P1525
2019-05-22,165,P1525
2019-05-16,212,P1514
2019-05-17,108,P1514
2019-05-18,110,P1514
2019-05-19,435,P1514
2019-05-20,259,P1514
2019-05-21,353,P1514
2019-05-22,533,P1514
2019-05-16,220,P1509
2019-05-17,165,P1509
2019-05-18,119,P1509
2019-05-19,262,P1509
2019-05-20,236,P1509
2019-05-21,284,P1509
2019-05-22,363,P1509
2019-05-16,165,P1526
2019-05-17,107,P1526
2019-05-18,25,P1526
2019-05-19,35,P1526
2019-05-20,168,P1526
2019-05-21,115,P1526
2019-05-22,104,P1526
2019-05-08,58,P0710
2019-05-09,49,P0710
2019-05-10,275,P0710
2019-05-11,102,P0710
2019-05-12,120,P0710
2019-05-13,123,P0710
2019-05-14,48,P0710
2019-05-08,161,P0713
2019-05-09,104,P0713
2019-05-10,128,P0713
2019-05-11,46,P0713
2019-05-12,59,P0713
2019-05-13,129,P0713
2019-05-14,117,P0713
2019-05-16,291,P1521
2019-05-17,275,P1521
2019-05-18,269,P1521
2019-05-19,245,P1521
2019-05-20,248,P1521
2019-05-21,288,P1521
2019-05-22,353,P1521
2019-05-16,315,P1527
2019-05-17,372,P1527
2019-05-18,422,P1527
2019-05-19,698,P1527
2019-05-20,527,P1527
2019-05-21,360,P1527
2019-05-22,413,P1527
2019-05-08,82,P0712
2019-05-09,91,P0712
2019-05-10,180,P0712
2019-05-11,104,P0712
2019-05-12,241,P0712
2019-05-13,205,P0712
2019-05-14,77,P0712
2019-05-08,217,P0715
2019-05-09,121,P0715
2019-05-10,159,P0715
2019-05-11,164,P0715
2019-05-12,234,P0715
2019-05-13,280,P0715
2019-05-14,102,P0715
2019-05-08,472,P0716
2019-05-09,197,P0716
2019-05-10,213,P0716
2019-05-11,318,P0716
2019-05-12,412,P0716
2019-05-13,156,P0716
2019-05-14,226,P0716
2019-05-16,205,P1541
2019-05-17,191,P1541
2019-05-18,94,P1541
2019-05-19,310,P1541
2019-05-20,283,P1541
2019-05-21,185,P1541
2019-05-22,303,P1541
2019-05-16,292,P1515
2019-05-17,382,P1515
2019-05-18,254,P1515
2019-05-19,153,P1515
2019-05-20,60,P1515
2019-05-21,217,P1515
2019-05-22,170,P1515
2019-05-16,238,P1519
2019-05-17,309,P1519
2019-05-18,286,P1519
2019-05-19,173,P1519
2019-05-20,131,P1519
2019-05-21,359,P1519
2019-05-22,284,P1519
2019-05-16,258,P1516
2019-05-17,136,P1516
2019-05-18,491,P1516
2019-05-19,96,P1516
2019-05-20,231,P1516
2019-05-21,143,P1516
2019-05-22,122,P1516
2019-05-16,486,P1517
2019-05-17,579,P1517
2019-05-18,260,P1517
2019-05-19,326,P1517
2019-05-20,321,P1517
2019-05-21,334,P1517
2019-05-22,544,P1517
2019-05-16,321,P1522
2019-05-17,128,P1522
2019-05-18,94,P1522
2019-05-19,158,P1522
2019-05-20,226,P1522
2019-05-21,115,P1522
2019-05-22,167,P1522
2019-05-16,277,P1518
2019-05-17,426,P1518
2019-05-18,222,P1518
2019-05-19,320,P1518
2019-05-20,320,P1518
2019-05-21,525,P1518
2019-05-22,319,P1518
2019-05-16,161,P1523
2019-05-17,268,P1523
2019-05-18,81,P1523
2019-05-19,62,P1523
2019-05-20,463,P1523
2019-05-21,114,P1523
2019-05-22,400,P1523
2019-05-16,156,P1520
2019-05-17,58,P1520
2019-05-18,143,P1520
2019-05-19,214,P1520
2019-05-20,199,P1520
2019-05-21,307,P1520
2019-05-22,205,P1520
